Article Title,Abstract,Publication Year
信用货币周期下大类资产配置,本文在融合了金融中介理论（信贷、货币周期）的美林时钟框架下，结合VAR向量自回归预测、LSTM宏观经济预测模型，采用Black-Litterman策略进行大类资产配置.本文以信贷货币周期理论基础，拓展了美林时钟经济周期划分判别准则，将2001年—2021年国内的宏观经济运行状况划分成不同的经济状态.紧接着，构建了基于LSTM深度学习宏观经济预测模型，模拟中国未来五年的经济增长、通胀、利率（反映货币政策松紧程度）等宏观经济环境，以及未来四类资产（股票、大宗商品、债券、现金及其等价物）的四个指数收益率.随后，本文使用单资产配置、避险配置以及Markowitz夏普比率最大进行资产配置.但是Markowitz策略缺点是对于预期收益率的输入比较敏感.根据前面未来宏观经济环境的预测，本文发现未来的经济状态的主旋律主要是滞涨和衰退经济轮动，本文认为由于经济环境的利率上升和信贷渠道的萎缩导致的流动性下降，现金和大宗商品相对于股票和债券相对而言比较强势.为了更好的融入本文对于未来经济周期的观点，本文采用Black-Litterman资产配置策略.最后本文在计算了不同资产配置策略下投资组合的风险收益特征，并结合各自策略特性进行比较与分析.,2024.0
基于深度强化学习算法的投资组合策略与自动化交易研究,投资组合策略问题是金融领域经久不衰的一个课题，将人工智能技术用于金融市场是信息技术时代一个重要的研究方向。目前的研究较多集中在股票的价格预测上，对于投资组合及自动化交易这类决策性问题的研究较少。文中基于深度强化学习算法，利用深度学习的BiLSTM来预测股价的涨跌，以强化学习的智能体进行观测，更好地判断当期情况，从而确定自己的交易动作；同时，利用传统的投资组合策略来建立交易的预权重，使智能体可以在自动化交易的过程中进行对比，从而不断优化自己的策略选择，生成当期时间点内最优的投资组合策略。文章选取美股的10支股票进行实验，在真实的市场模拟下表明，基于深度强化学习算法的模型累计收益率达到了86.5%，与其他基准策略相比，收益最高，风险最小，具有一定的实用价值。,2024.0
基于ARIAM-GARCH深度学习的股价预测与决策,对于绝大多数股民而言，大盘股具有投入成本高、损失大、资金流转慢等特性，为使得股民减少损失，提高收益，通过针对于中小企业股，采用两阶段的方法对股价进行了预测，给出了一种最优投资组合决策方法。第一阶段先用ARIMA-GARCH模型进行建模，提取每日收益率的波动率，再将波动率加入到原有数据集中，构建CNN-BiLSTM-AT深度神经网络模型进行预测，最后使用XGBoost算法对预测值进行修正。第二阶段在给定投资者的期望收益率的条件下，用Bayes方法进行投资组合，获取最优投资决策。实证研究表明，此方法对于选取的10只中小企业股有着较好的研究结果。,2024.0
基于BiGRU和残差图注意力网络的股票价格预测模型,"高效、准确的股票价格预测能帮助投资者合理规划交易方式，提高投资收益。针对现有股票价格预测模型的准确率不高、投资收益率低等问题，提出一种结合双向门控循环单元(BiGRU)和残差图注意力网络(ResGAT)的股票价格预测模型(BiGRU-ResGAT)。首先，通过结合注意力机制的时间滑动窗口方法(TSWMCAM)动态计算不同股票之间的关联系数，构建表征股票之间关联关系的股票图结构；然后，使用BiGRU捕获股票在时序上的长距离依赖信息；最后，利用ResGAT对股票的时序特征与股票间的关联特征进行深度挖掘和融合，并对股票价格进行预测。在上海证券交易所主板市场498支股票上的价格预测结果显示，与支持向量机(SVM)、门控循环单元(GRU)、复合模型(CNN-LSTM)和关系股票排序模型(RSR)相比，BiGRU-ResGAT在股票测试集上平均绝对误差(MAE)分别降低79.53%、63.20%、48.17%、33.19%,均方根误差(RMSE)分别降低80.23%、66.22%、53.99%、29.99%,决定系数(R-Squared)分别提升23.34%、15.22%、9.54%、4.84%;在投资组合上的累计收益率分别提升10.77、7.89、6.81、5.03个百分点。实验结果表明，BiGRU-ResGAT能够有效地挖掘和融合股票数据的关键特征，对股票价格进行预测。",2024.0
基于TimesNet的大类资产指数长期预测,大类资产指数预测常用于衡量投资组合的收益表现，若能对其进行准确的长期预测，则可据此构建投资组合以获取更高的收益。与传统的机器学习和常见的神经网络相比，TimesNet在处理多变量长期预测任务方面具有更好的效果。文章基于10个大类资产指数的历史数据，采用TimesNet模型进行长期预测，并在实证分析中与线性回归、随机森林、支持向量回归和LSTM四种预测模型进行对比，验证了该模型的准确性。,2023.0
基于LSTM的两阶段均值-CVaR投资组合决策,"文章提出了一种基于长短期记忆网络(Long-short Term Memory network, LSTM)的两阶段均值-CVaR投资组合模型(LSTM+CVaR)。该模型在第一阶段采用LSTM预测股票收益并对股票进行选择；在第二阶段运用均值-CVaR模型来确定所选股票的投资比例。最后，以沪深300指数股为样本数据，在考虑交易成本和上界约束的情况下，比较LSTM+CVaR模型、LSTM预测选股的等比例模型、随机选股的CVaR模型、随机选股的等比例模型和沪深300指数的风险收益特征、累计收益率和夏普比率。实证结果表明：LSTM+CVaR模型能够实现比传统的投资组合模型更高的平均收益率、收益风险比、累计收益率和夏普比率；减少交易成本和放宽上界约束能提升投资组合模型的表现。",2023.0
基于动态选择预测器的深度强化学习投资组合模型,近年来，投资组合管理问题在人工智能领域得到了广泛的研究，但现有的基于深度学习的量化交易方法还存在一些问题。首先，对股票的预测模式单一，通常一个模型只能训练出一个交易专家，交易决策也仅根据模型预测结果作出；其次，模型使用的数据源相对单一，只考虑了股票自身数据，忽略了整个市场风险对股票的影响。针对上述问题，提出了基于动态选择预测器的强化学习模型(DSDRL)。该模型分为3部分，首先提取股票数据的特征并传入多个预测器中，针对不同的投资策略训练多个预测模型，用动态选择器得到当前最优预测结果；其次，利用市场环境评价模块对当前市场风险进行量化，得到合适的投资金额比例；最后，在前两个模块的基础上建立了一种深度强化学习模型模拟真实的交易环境，基于预测的结果和投资金额比例得到实际投资组合策略。文中使用中证500和标普500的日k线数据进行测试验证，结果表明，此模型在夏普率等指标上均优于其他参照模型。,2024.0
基于ELSTM-BL模型的股票投资组合研究,"为了提高股票收益率预测精度，达到利用深度学习算法构建股票投资组合模型谋求高额收益的目的。首先通过指数衰减法对长短期记忆（Long Short-Term Memory, LSTM）神经网络参数进行优化，形成ELSTM模型；其次利用改进后的LSTM模型对次日的个股收益率进行预测，以形成BL模型的主观观点参数；最终将收益率预测结果输入到BL模型得到股票投资组合的配置权重，并将资产按照模型给出结构配置。在方案实施阶段，将基于ELSTM-BL模型的股票投资方案与LSTM-BL模型、市值权重模型与历史BL模型的投资组合方案作比较，ELSTM-BL模型表现出明显优势。",2023.0
集成的深度强化学习投资组合模型,"投资组合问题是量化交易领域中的热点问题。针对现有基于深度强化学习的投资组合模型无法实现自适应的交易策略和有效利用有监督信息的缺陷，提出一种集成的深度强化学习投资组合模型（IDRLPM）。首先，采用多智能体方法构造多个基智能体并设计不同交易风格的奖励函数，以表示不同的交易策略；其次，利用集成学习方法对基智能体的策略网络进行特征融合，得到自适应市场环境的集成智能体；然后，在集成智能体中嵌入基于卷积块注意力模块（CBAM）的趋势预测网络，趋势预测网络输出引导集成策略网络自适应选择交易比重；最后，在有监督深度学习和强化学习交替迭代训练下，IDRLPM有效利用训练数据中的监督信息以增强模型盈利能力。在上证50的成分股和中证500的成分股数据集中，IDRLPM的夏普比率（SR）达到了1.87和1.88，累计收益（CR）达到了2.02和1.34；相较于集合式的深度强化学习（EDRL）交易模型，SR提高了105%和55%,CR提高了124%和79%。实验结果表明，IDRLPM能够有效解决投资组合问题。",2024.0
基于LSTM与熵值—TOPSIS法的投资组合构建策略,股票市场具有较强的波动性和不确定性，如何利用已有信息构造一个合理的投资组合一直是人们关注的问题。本文通过观察股票数据以及公司基本数据，确定了预测股票走势的指标数据，基于LSTM模型预测出所选股票的周涨跌幅，进而将预测的周涨跌幅作为其中一个因子，结合券商研报的最近一期相关数据，使用熵值—TOPSIS法对股票进行打分排序，并据此构建投资策略。最后通过实际数据的验证，说明了本文模型的有效性。,2023.0
基于投资者情绪和深度强化学习的股票投资组合优化研究,我国股票交易市场每天都在产生大量交易数据，为了解决传统交易分析方法难以处理海量数据的缺陷，引入量化投资的方式。但是，量化投资是利用计算机技术建模以挖掘交易信号的一种投资方式，不能脱离传统分析方法和解决投资者对于投资组合管理的需求。为此，本文提出一种融合投资者情绪和改进特征提取网络的深度强化算法的股票投资组合模型，可以借助深度神经网络来处理原始数据，提取新闻和评论情感与股票的时间序列交易数据的特征信息，再利用强化学习不断训练以实现智能决策。为了验证模型的效果，使用HS300成分股中100只流通性好的股票作为资产池，首先改善深度强化学习算法的特征提取网络，使用多层感知机神经网络（MLP）、卷积神经网络（CNN）和长短期记忆神经网络（LSTM）作为特征提取网络，应用到深度确定性策略梯度算法（DDPG）、双延时深度确定性策略梯度算法（TD3）、柔性演员—评论员算法（SAC）中。其次，使用基于新闻和评论文本的情绪分析模型计算投资人情绪影响力分值。最后，融合情绪影响力分值输入后重新训练智能体，在测试数据集上，CTD3-LSTM模型最高收益率达到38.81%，欧米伽率为1.35，最大回撤率为14.3%，均明显优于其他对照组。,2023.0
基于深度学习的收益率预测与投资组合模型,在传统投资组合模型中，备选资产的预期超额收益率的预测误差将导致模型的投资绩效劣化。文章采用Transformer深度学习模型对备选资产的收益率进行预测，以提升预期收益率的准确度，进而提高投资组合模型的绩效。以中证800指数的成分股为备选资产，进行了72期投资，将实证结果与LSTM和SVR模型进行对比，验证了Transformer模型在提升预测准确度和提高投资组合模型绩效上的优越性。,2022.0
基于注意力机制的CNN-LSTM模型股价趋势预测,为了更准确地预测股价趋势，获取更高的超额收益，该文将注意力机制、卷积神经网络（CNN）与长短期记忆神经网络（LSTM）组合，提出了一种基于注意力机制的CNN-LSTM模型。实验选取沪深300指数成分股5分钟k线数据，采取变分编码器（VAE）进行特征工程，通过对比引入注意力机制前后的CNNLSTM、CNN与LSTM模型构建投资组合的超额收益等指标，说明该文所提出模型的有效性。结果显示，基于注意力机制的CNN-LSTM模型预测性能较优。,2022.0
基于深度强化学习的动态投资组合优化新模型（英文）,基于深度强化学习的动态投资组合优化模型存在很多具有挑战性的问题，例如高维的环境空间和动作空间，以及如何从高维状态空间和嘈杂的金融时间序列数据中提取有用信息。为了解决这些问题，我们提出了一种新的模型结构，称为自适应噪声的完整集合经验模态分解-多头注意力网络-强化学习模型。这种新模型结构集成了数据处理方法、深度学习模型和强化学习模型，以提高感知和决策能力。实证分析表明，我们提出的模型结构在动态投资组合优化方面具有一定的优势。此外，在实验对比的过程中，我们发现了另外一种稳健的投资策略。该策略为，投资组合中的每只股票给定相同资金，并将独立的结构分别作用于每只股票。,2022.0
MDDE：一种基于投资组合的金融市场趋势分析方法,金融市场走势预测是金融学、计算机科学、统计学、心理学等领域的融合问题，具有鲜明的学科交叉特征，也是研究的重点和难点，对金融市场走势预测的理论和关键技术研究为这些学科提供了新的理论和方法，具有重要的理论意义和实际的应用价值.提出一种基于投资组合的金融市场趋势分析方法MDDE(Markowitz Deep Deterministic Policy Gradient Experience)，通过使用Markowitz投资组合理论，以2019年2月至2019年8月的各样本历史数据为参考，确定模拟股市中的投资组合比例，结合DDPG(Deep Deterministic Policy Gradient)与自定义经验盒，分析股价走势，判断模拟股盘中的买卖点，并计算收益率.使用苹果（AAPL. us）、波音（BA. us）、强生（JNJ. us）、可口可乐（KO. us）、默克（MRK.us）、辉瑞（PFE. us）、宝洁（PG. us）、威瑞森（VZ. us）、雪佛龙（CVX. us）、埃克森美孚（XOM. us）、旅行者集团（TRV. us）、3M公司（MMM. us）共12只股票2011年1月至2020年8月的股票数据作为样本进行实验，实验结果表明，在相同时间段的模拟买卖中，和传统的基线方法与其他的强化学习模型相比，MDDE可以获得更好的收益.,2022.0
基于深度强化学习TD3算法的投资组合管理,投资组合问题是指投资者在控制风险的情况下将资产重新分配到不同产品中，实现收益最大化。利用深度强化学习中的TD3算法，并构建基于长短期记忆网络(long short-term memory，LSTM)的TD3算法投资组合模型来进行研究，同时将股票投资组合交易过程定义为马尔可夫决策过程模型。结果表明，深度强化学习算法构建的投资组合模型在累计收益率，夏普比率，最大回撤等评价指标方面都要优于等权重投资组合。表明该方法可以优化投资组合策略，实现股票投资收益最大化，对于投资者来说具有有效的参考价值和研究意义，同时促进了计算机技术与金融领域更好地结合。,2022.0
基于值分布最大熵Actor-Critic算法的投资组合管理,"针对投资组合管理问题，提出一种基于值分布强化学习算法(VD-MEAC)的投资组合框架．首先，以投资组合收益最大化为目标建立强化学习框架，智能体的动作就是投资组合的权重变化；然后，选择股票因子做为智能体观察到的状态信息．在算法设计上通过新颖的技巧来平衡风险与收益：在控制风险方面，Critic网络学习未来收益的整个分布，并排除过度自信的决策信息从而避免过估计带来的风险；在提高收益方面，增加熵正则，鼓励投资者探索动作空间，避免过早陷入局部最优．在数值实验方面，选择真实的股票数据做为金融环境，多次进行测试以验证策略的稳定性．实验结果表明：VD-MEAC策略的收益均值为2.490，夏普比率均值为2.978，并且在收益率、最大回撤和夏普比率等指标上明显优于对照组(等权重，沪深300,DDPG,TD3,SAC)，证明了该策略的有效性．",2023.0
机器学习在金融资产定价中的应用研究综述,金融资产配置的关键问题是资产的价格，资产定价是现代金融学的核心内容，揭示资产定价规律一直是金融研究热点之一。文中回顾了机器学习在资产定价领域使用的方法与研究进展，将机器学习资产定价的方法分类为基于特征处理的机器学习方法与端到端处理的深度学习方法；围绕当前机器学习资产定价遇到的主要问题，比较了不同算法在原理和应用场景方面的区别；指出了两类机器学习方法的适用性与局限性；讨论了机器学习资产定价未来可能的研究趋势。,2022.0
高频数据下基于LSTM的协方差矩阵预测模型,"协方差矩阵的建模与预测，对于金融风险管理、投资组合管理等至关重要。针对时间序列模型对高维变量预测精度较低的问题，利用长短记忆神经网络模型(LSTM),提出了基于深度学习的高频数据已实现协方差矩阵预测模型。利用金融高频数据得到已实现协方差矩阵，对其进行DRD分解，针对相关系数矩阵R进行向量化处理，利用向量异质自回归模型(HAR)预测已实现相关系数矩阵R;针对已实现波动率矩阵D,利用半协方差(semi covariance)思想，结合LSTM模型，得到已实现波动率矩阵D的深度学习预测模型，构建了LSTM-SDRD-HAR已实现协方差矩阵动态预测模型。LSTM模型和HAR模型能捕捉实际数据的长期记忆性，半协方差有利于捕捉金融数据的杠杆性。实证分析表明：相较于传统向量HAR已实现协方差矩阵预测模型，LSTM-SDRD-HAR预测已实现协方差矩阵更为准确，基于LSTM-SDRD-HAR预测已实现协方差矩阵构造的有效前沿组合投资效果更佳。",2022.0
媒体关联报道网络与股价的跨行业同步性——基于深度注意力图嵌入神经网络的研究,本文基于媒体对于多家上市公司的关联报道，借助图深度学习算法解析其中隐含的公司跨行业关联报道程度。研究发现公司与其他某一行业关联报道程度越大，其股价与该行业同步性越强，这源于公司与该关联行业在基本面上存在关联。进一步研究发现媒体对于公司的跨行业关联报道促进了公司信息的透明化并降低了投资者的风险承担，基于公司跨行业关联指数构建的投资组合在样本期间内可以获得显著的超额收益。,2022.0
深度学习在金融领域的应用研究综述,"随着人工智能和金融科技的快速发展,机器学习尤其是深度学习在金融领域的应用引起了人们浓厚的研究兴趣。为了探索金融深度学习的应用领域,对近十年金融深度学习的文献进行了总结,并分别从模型介绍和应用领域两个方面进行了归纳。结果发现:金融深度学习常用的模型包括卷积神经网络、循环神经网络和长短期记忆神经网络,并且它们在金融文本分析、金融风险评估和异常检测以及投资组合管理方面均有着广泛的应用。未来可以将新的文本挖掘和自然语言处理技术应用到行为金融学领域进行更深入的研究,同时还可以探索将深度学习应用到加密货币和区块链等新兴金融领域的更多可能性。",2022.0
深度学习在量化投资中应用的国内外现状与发展趋势,"随着我国证券交易体量的不断增大,业界对运用深度学习等大数据分析技术对量化投资的兴趣日益增加。主流思路为研究个股投资策略(包括选股和择时)和设计合理的投资组合,从而寻找阿尔法。除此之外还有优化某些投资过程,把一些手动,半自动的投资方式变成自动化,解决大单交易市场冲击和对投资者的高风险行为监督等问题。随着深度学习技术的发展,国内外的研究者对深度学习在量化投资中的应用也经历了从使用人工神经网络、随机森林和向量机到卷积神经网络、LSTM神经网络和混合模型的发展。时至今日使用深度学习在还存在着一些问题,包括技术问题和不成熟市场的特有问题。总体来说,将深度学习运用到量化投资中是完全可行并具有广大发展空间的。",2022.0
基于机器学习的投资组合选择研究,将股票收益预测结果与投资组合优化模型相结合，可以给投资者带来更稳定且高额的回报。近年来，机器学习和深度学习模型在时间序列预测中取得了很大的成功。基于随机森林(RF)、支持向量回归(SVR)和长短期记忆网络(LSTM)3种模型提出了一种混合预测方法以使产生的预测误差最小。进而基于预测误差，构建一个风险指标对传统的均值-方差(MV)模型进行改进，提出一种新的投资组合模型。实验数据采用上证100中20支成分股2006-2020年的15年的日数据。最后，通过比较各个策略的累计收益、年化收益、夏普比率等指标证明了论文所提出投资组合选择模型的优越性。,2021.0
